Time,Temperature,Humidity,Moisture,MoistureClass,LightValue,Lights,PiTemperature,Height,SonicDistance,Image,WaterGiven
Thu Jan 24 22:02:41 2019,14.0,62.0,387,Moist,0,False,38.6,11.0,50.0,,0.0
Thu Jan 24 22:12:41 2019,15.0,59.0,377,Moist,0,False,39.2,11.0,50.0,,0.0
Thu Jan 24 22:22:41 2019,15.0,59.0,376,Moist,0,False,38.1,11.0,50.0,,0.0
Thu Jan 24 22:32:41 2019,15.0,59.0,372,Moist,0,False,39.7,11.0,50.0,,0.0
Thu Jan 24 22:42:42 2019,14.0,60.0,367,Moist,0,False,38.6,11.0,50.0,,0.0
Thu Jan 24 22:52:42 2019,14.0,60.0,369,Moist,0,False,38.6,11.0,50.0,,0.0
Thu Jan 24 23:02:42 2019,14.0,61.0,365,Moist,0,False,46.2,11.0,50.0,,0.0
Thu Jan 24 23:12:42 2019,14.0,62.0,363,Moist,0,False,38.6,11.0,50.0,,0.0
Thu Jan 24 23:22:42 2019,14.0,63.0,363,Moist,0,False,37.6,11.0,50.0,,0.0
Thu Jan 24 23:32:43 2019,14.0,63.0,370,Moist,0,False,37.6,11.0,50.0,,0.0
Thu Jan 24 23:42:43 2019,14.0,63.0,365,Moist,0,False,39.2,5.0,56.0,,0.0
Thu Jan 24 23:50:23 2019,14.0,65.0,367,Moist,2,False,39.2,5.0,56.0,,0.0
Fri Jan 25 00:00:23 2019,14.0,64.0,363,Moist,0,False,37.6,11.0,50.0,,0.0
Fri Jan 25 00:10:24 2019,14.0,64.0,375,Moist,0,False,37.6,4.0,57.0,,0.0
Fri Jan 25 00:20:24 2019,14.0,64.0,361,Moist,0,False,37.6,10.0,51.0,,0.0
Fri Jan 25 00:30:24 2019,13.0,64.0,354,Moist,0,False,39.7,11.0,50.0,,0.0
Fri Jan 25 00:40:24 2019,14.0,65.0,352,Moist,0,False,39.7,11.0,50.0,,0.0
Fri Jan 25 00:51:11 2019,13.0,64.0,377,Moist,0,False,37.6,11.0,50.0,,0.0
Fri Jan 25 01:01:11 2019,13.0,64.0,393,Moist,0,False,38.6,12.0,49.0,,0.0
Fri Jan 25 01:11:11 2019,14.0,63.0,384,Moist,0,False,39.7,12.0,49.0,,0.0
Fri Jan 25 01:20:01 2019,15.0,57.0,374,Moist,1,False,40.8,12.0,49.0,,0.0
Fri Jan 25 01:30:01 2019,15.0,57.0,364,Moist,0,False,39.2,12.0,49.0,,0.0
Fri Jan 25 01:40:02 2019,15.0,57.0,380,Moist,0,False,39.2,11.0,50.0,,0.0
Fri Jan 25 01:50:02 2019,15.0,58.0,369,Moist,0,False,38.6,11.0,50.0,,0.0
Fri Jan 25 02:00:02 2019,15.0,58.0,359,Moist,0,False,38.6,12.0,49.0,,0.0
Fri Jan 25 02:10:02 2019,14.0,58.0,357,Moist,0,False,38.6,11.0,50.0,,0.0
Fri Jan 25 02:20:02 2019,14.0,59.0,367,Moist,0,False,38.6,11.0,50.0,,0.0
Fri Jan 25 02:30:03 2019,14.0,59.0,355,Moist,0,False,37.6,11.0,50.0,,0.0
Fri Jan 25 02:40:03 2019,14.0,60.0,353,Moist,0,False,38.1,11.0,50.0,,0.0
Fri Jan 25 02:50:03 2019,,,353,Moist,0,False,37.6,11.0,50.0,,0.0
Fri Jan 25 03:00:03 2019,14.0,62.0,362,Moist,0,False,37.6,8.0,53.0,,0.0
Fri Jan 25 03:10:03 2019,13.0,62.0,363,Moist,0,False,37.6,8.0,53.0,,0.0
Fri Jan 25 03:20:04 2019,13.0,62.0,370,Moist,0,False,37.6,8.0,53.0,,0.0
Fri Jan 25 03:30:04 2019,13.0,62.0,370,Moist,0,False,36.5,11.0,50.0,,0.0
Fri Jan 25 03:40:04 2019,13.0,63.0,359,Moist,0,False,37.0,7.0,54.0,,0.0
Fri Jan 25 03:50:04 2019,13.0,63.0,371,Moist,0,False,37.6,7.0,54.0,,0.0
Fri Jan 25 04:00:04 2019,13.0,63.0,347,Moist,0,False,37.6,7.0,54.0,,0.0
Fri Jan 25 04:10:05 2019,13.0,64.0,358,Moist,0,False,36.5,7.0,54.0,,0.0
Fri Jan 25 04:20:05 2019,13.0,63.0,345,Moist,0,False,36.5,7.0,54.0,,0.0
Fri Jan 25 04:30:05 2019,13.0,63.0,347,Moist,0,False,37.0,11.0,50.0,,0.0
Fri Jan 25 04:40:05 2019,13.0,63.0,341,Moist,0,False,37.0,11.0,50.0,,0.0
Fri Jan 25 04:50:05 2019,13.0,64.0,356,Moist,0,False,37.0,11.0,50.0,,0.0
Fri Jan 25 05:00:06 2019,13.0,64.0,347,Moist,0,False,36.5,11.0,50.0,,0.0
Fri Jan 25 05:10:06 2019,13.0,64.0,357,Moist,0,False,37.0,12.0,49.0,,0.0
Fri Jan 25 05:20:06 2019,13.0,64.0,355,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 05:30:06 2019,13.0,64.0,349,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 05:40:06 2019,13.0,64.0,350,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 05:50:06 2019,13.0,64.0,361,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 06:00:07 2019,13.0,64.0,352,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 06:10:07 2019,13.0,63.0,341,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 06:20:07 2019,13.0,64.0,342,Moist,0,False,37.0,11.0,50.0,,0.0
Fri Jan 25 06:30:07 2019,13.0,64.0,337,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 06:40:08 2019,13.0,64.0,335,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 06:50:08 2019,13.0,64.0,341,Moist,0,False,36.5,12.0,49.0,,0.0
Fri Jan 25 07:00:08 2019,13.0,63.0,339,Moist,0,False,36.5,11.0,50.0,,0.0
Fri Jan 25 07:10:08 2019,13.0,64.0,346,Moist,0,False,36.5,11.0,50.0,,0.0
Fri Jan 25 07:20:08 2019,13.0,64.0,341,Moist,0,False,36.5,11.0,50.0,,0.0
Fri Jan 25 07:30:09 2019,12.0,63.0,328,Moist,0,False,36.5,8.0,53.0,,0.0
Fri Jan 25 07:40:09 2019,13.0,65.0,336,Moist,0,False,36.5,8.0,53.0,,0.0
Fri Jan 25 07:50:09 2019,13.0,64.0,330,Moist,0,False,36.5,8.0,53.0,,0.0
Fri Jan 25 08:00:09 2019,12.0,64.0,326,Moist,3,False,36.5,8.0,53.0,,0.0
Fri Jan 25 08:10:09 2019,13.0,64.0,327,Moist,19,True,36.5,8.0,53.0,,0.0
Fri Jan 25 08:20:10 2019,12.0,63.0,321,Moist,73,True,35.9,8.0,53.0,,0.0
Fri Jan 25 08:30:10 2019,12.0,63.0,317,Moist,205,True,36.5,7.0,54.0,,0.0
Fri Jan 25 08:40:11 2019,12.0,63.0,325,Moist,375,True,36.5,7.0,54.0,,0.0
Fri Jan 25 08:50:11 2019,12.0,63.0,321,Moist,453,True,36.5,7.0,54.0,,0.0
Fri Jan 25 09:00:12 2019,12.0,63.0,313,Moist,758,True,36.5,6.0,55.0,,0.0
Fri Jan 25 09:10:12 2019,13.0,62.0,318,Moist,758,True,37.6,7.0,54.0,,0.0
Fri Jan 25 09:20:13 2019,14.0,59.0,317,Moist,760,True,39.2,7.0,54.0,,0.0
Fri Jan 25 09:30:13 2019,14.0,57.0,318,Moist,759,True,40.8,7.0,54.0,,0.0
Fri Jan 25 09:40:14 2019,14.0,57.0,304,Moist,759,True,39.2,7.0,54.0,,0.0
Fri Jan 25 09:50:14 2019,14.0,57.0,306,Moist,758,True,38.1,8.0,53.0,,0.0
Fri Jan 25 10:00:15 2019,14.0,58.0,309,Moist,760,True,37.6,8.0,53.0,,0.0
Fri Jan 25 10:10:15 2019,14.0,59.0,324,Moist,759,True,38.1,8.0,53.0,,0.0
Fri Jan 25 10:20:16 2019,14.0,60.0,410,Moist,757,True,37.6,7.0,54.0,,0.0
Fri Jan 25 10:30:16 2019,14.0,60.0,386,Moist,758,True,37.0,7.0,54.0,,0.0
Fri Jan 25 10:40:17 2019,14.0,60.0,378,Moist,756,True,36.5,7.0,54.0,,0.0
Fri Jan 25 10:50:17 2019,14.0,60.0,369,Moist,758,True,37.0,7.0,54.0,,0.0
